Date,Open,High,Low,Close,Adj Close,Volume
2018-05-08,1250.000000,1460.000000,1200.000000,1460.000000,1329.273315,74480800
2018-05-09,1500.000000,1540.000000,1460.000000,1470.000000,1338.378052,22920200
2018-05-10,null,null,null,null,null,null
2018-05-11,1470.000000,1515.000000,1470.000000,1510.000000,1374.796265,43286000
2018-05-14,1510.000000,1515.000000,1495.000000,1505.000000,1370.244141,16091400
2018-05-15,1505.000000,1505.000000,1505.000000,1505.000000,1370.244141,0
2018-05-16,1505.000000,1505.000000,1505.000000,1505.000000,1370.244141,0
2018-05-17,1515.000000,1585.000000,1515.000000,1580.000000,1438.528687,69931400
2018-05-18,1580.000000,1590.000000,1580.000000,1580.000000,1438.528687,15817100
2018-05-21,1580.000000,1585.000000,1570.000000,1580.000000,1438.528687,12665700
2018-05-22,1580.000000,1600.000000,1580.000000,1590.000000,1447.633301,16716800
2018-05-23,1590.000000,1600.000000,1590.000000,1595.000000,1452.185547,23964500
2018-05-24,1595.000000,1595.000000,1585.000000,1590.000000,1447.633301,17099900
2018-05-25,1590.000000,1590.000000,1580.000000,1585.000000,1443.080933,9364400
2018-05-28,1585.000000,1600.000000,1585.000000,1595.000000,1452.185547,22885700
2018-05-29,1595.000000,1595.000000,1595.000000,1595.000000,1452.185547,0
2018-05-30,1590.000000,1590.000000,1570.000000,1570.000000,1429.424072,19846500
2018-05-31,1570.000000,1570.000000,1550.000000,1550.000000,1411.214844,13292200
2018-06-01,1550.000000,1550.000000,1550.000000,1550.000000,1411.214844,0
2018-06-04,1550.000000,1560.000000,1550.000000,1560.000000,1420.319458,9721900
2018-06-05,1560.000000,1560.000000,1540.000000,1545.000000,1406.662476,12678900
2018-06-06,1545.000000,1545.000000,1525.000000,1525.000000,1388.453247,12060200
2018-06-07,1530.000000,1530.000000,1500.000000,1505.000000,1370.244141,16103800
2018-06-08,1505.000000,1510.000000,1500.000000,1505.000000,1370.244141,9214200
2018-06-11,1505.000000,1505.000000,1505.000000,1505.000000,1370.244141,0
2018-06-12,1505.000000,1505.000000,1505.000000,1505.000000,1370.244141,0
2018-06-13,1505.000000,1505.000000,1505.000000,1505.000000,1370.244141,0
2018-06-14,1505.000000,1505.000000,1505.000000,1505.000000,1370.244141,0
2018-06-15,1505.000000,1505.000000,1505.000000,1505.000000,1370.244141,0
2018-06-18,1505.000000,1505.000000,1505.000000,1505.000000,1370.244141,0
2018-06-19,1505.000000,1505.000000,1505.000000,1505.000000,1370.244141,0
2018-06-20,1520.000000,1570.000000,1520.000000,1550.000000,1411.214844,34766300
2018-06-21,1555.000000,1575.000000,1555.000000,1560.000000,1420.319458,68818300
2018-06-22,1565.000000,1575.000000,1560.000000,1570.000000,1429.424072,74405400
2018-06-25,1570.000000,1585.000000,1570.000000,1570.000000,1429.424072,75461700
2018-06-26,1570.000000,1575.000000,1560.000000,1570.000000,1429.424072,15658300
2018-06-27,1570.000000,1575.000000,1570.000000,1575.000000,1433.976318,12599600
2018-06-28,1575.000000,1585.000000,1570.000000,1585.000000,1443.080933,38934100
2018-06-29,1585.000000,1595.000000,1585.000000,1585.000000,1443.080933,17237900
2018-07-02,1585.000000,1590.000000,1580.000000,1585.000000,1443.080933,7156900
2018-07-03,1585.000000,1585.000000,1580.000000,1585.000000,1443.080933,8054200
2018-07-04,1585.000000,1590.000000,1580.000000,1585.000000,1443.080933,22347300
2018-07-05,1585.000000,1590.000000,1580.000000,1580.000000,1438.528687,33188300
2018-07-06,1585.000000,1590.000000,1580.000000,1580.000000,1438.528687,38814900
2018-07-09,1585.000000,1590.000000,1580.000000,1585.000000,1443.080933,39453600
2018-07-10,1585.000000,1590.000000,1580.000000,1590.000000,1447.633301,57329000
2018-07-11,1585.000000,1585.000000,1580.000000,1580.000000,1438.528687,19606200
2018-07-12,1585.000000,1595.000000,1580.000000,1590.000000,1447.633301,41780300
2018-07-13,1590.000000,1595.000000,1580.000000,1580.000000,1438.528687,58047500
2018-07-16,1585.000000,1590.000000,1580.000000,1580.000000,1438.528687,22499800
2018-07-17,1585.000000,1620.000000,1580.000000,1620.000000,1474.947144,97362300
2018-07-18,1620.000000,1635.000000,1615.000000,1625.000000,1479.499390,56958200
2018-07-19,1625.000000,1630.000000,1610.000000,1620.000000,1474.947144,33452400
2018-07-20,1620.000000,1625.000000,1610.000000,1620.000000,1474.947144,33468200
2018-07-23,1620.000000,1625.000000,1615.000000,1620.000000,1474.947144,28082000
2018-07-24,1620.000000,1625.000000,1615.000000,1620.000000,1474.947144,20944300
2018-07-25,1620.000000,1625.000000,1605.000000,1610.000000,1465.842529,36699900
