Date,Open,High,Low,Close,Adj Close,Volume
2022-09-16,3000.000000,3000.000000,2900.000000,2950.000000,2825.965820,2960500
2022-09-19,2950.000000,3000.000000,2890.000000,2900.000000,2778.068115,1881600
2022-09-20,2930.000000,2940.000000,2890.000000,2900.000000,2778.068115,881100
2022-09-21,2950.000000,2950.000000,2810.000000,2820.000000,2701.431885,3300700
2022-09-22,2810.000000,2870.000000,2780.000000,2830.000000,2711.011230,2978800
2022-09-23,2830.000000,2880.000000,2810.000000,2810.000000,2691.852295,1653100
2022-09-26,2810.000000,2820.000000,2730.000000,2730.000000,2615.215820,5611100
2022-09-27,2730.000000,2760.000000,2720.000000,2750.000000,2634.375000,3189300
2022-09-28,2800.000000,2800.000000,2720.000000,2750.000000,2634.375000,2241100
2022-09-29,2760.000000,2790.000000,2690.000000,2690.000000,2576.897705,3833500
2022-09-30,2700.000000,2750.000000,2670.000000,2730.000000,2615.215820,2322700
2022-10-03,2730.000000,2730.000000,2670.000000,2680.000000,2567.318115,3620700
2022-10-04,2700.000000,2800.000000,2700.000000,2760.000000,2643.954590,4266200
2022-10-05,2810.000000,2850.000000,2790.000000,2830.000000,2711.011230,3353500
2022-10-06,2840.000000,2860.000000,2800.000000,2850.000000,2730.170410,4005800
2022-10-07,2850.000000,2860.000000,2790.000000,2800.000000,2682.272705,1650400
2022-10-10,2800.000000,2820.000000,2770.000000,2800.000000,2682.272705,1813600
2022-10-11,2800.000000,2830.000000,2770.000000,2770.000000,2653.533936,1871200
2022-10-12,2770.000000,2780.000000,2680.000000,2730.000000,2615.215820,4208000
2022-10-13,2730.000000,2760.000000,2670.000000,2700.000000,2586.477295,2096000
2022-10-14,2710.000000,2750.000000,2630.000000,2730.000000,2615.215820,3830100
2022-10-17,2730.000000,2730.000000,2680.000000,2680.000000,2567.318115,1928200
2022-10-18,2700.000000,2730.000000,2680.000000,2710.000000,2596.056885,735600
2022-10-19,2720.000000,2720.000000,2650.000000,2660.000000,2548.158936,1283900
2022-10-20,2680.000000,2790.000000,2650.000000,2790.000000,2672.693115,5264500
2022-10-21,2800.000000,2840.000000,2740.000000,2780.000000,2663.113525,6411100
2022-10-24,2830.000000,2860.000000,2720.000000,2720.000000,2605.636230,6084600
2022-10-25,2740.000000,2810.000000,2690.000000,2790.000000,2672.693115,5543700
2022-10-26,2820.000000,2860.000000,2760.000000,2780.000000,2663.113525,3690900
2022-10-27,2790.000000,3020.000000,2780.000000,2980.000000,2854.704590,11291700
2022-10-28,2980.000000,3020.000000,2910.000000,2910.000000,2787.647705,5192700
2022-10-31,2920.000000,3000.000000,2900.000000,2950.000000,2825.965820,4812100
2022-11-01,2970.000000,3140.000000,2970.000000,3110.000000,2979.238525,10725500
2022-11-02,3120.000000,3280.000000,3070.000000,3260.000000,3122.931641,22065600
2022-11-03,3300.000000,3330.000000,3170.000000,3310.000000,3170.829590,14459400
2022-11-04,3310.000000,3360.000000,3220.000000,3230.000000,3094.193115,6897600
2022-11-07,3230.000000,3380.000000,3230.000000,3360.000000,3218.727295,6284500
2022-11-08,3360.000000,3380.000000,3140.000000,3210.000000,3075.033936,8848000
2022-11-09,3260.000000,3310.000000,3140.000000,3180.000000,3046.295410,4347500
2022-11-10,3170.000000,3200.000000,3060.000000,3140.000000,3007.977295,4826400
2022-11-11,3220.000000,3250.000000,3170.000000,3170.000000,3036.715820,4534700
2022-11-14,3180.000000,3200.000000,3090.000000,3100.000000,2969.658936,3252200
2022-11-15,3100.000000,3140.000000,3060.000000,3090.000000,2960.079590,2244900
2022-11-16,3120.000000,3120.000000,3020.000000,3070.000000,2940.920410,3340800
2022-11-17,3070.000000,3120.000000,3070.000000,3070.000000,2940.920410,4220400
2022-11-18,3080.000000,3120.000000,3080.000000,3090.000000,2960.079590,2137600
2022-11-21,3100.000000,3120.000000,3030.000000,3060.000000,2931.340820,3677000
2022-11-22,3070.000000,3080.000000,3030.000000,3040.000000,2912.181641,11324900
2022-11-23,3090.000000,3090.000000,3040.000000,3050.000000,2921.761230,2917500
2022-11-24,3050.000000,3050.000000,2960.000000,3040.000000,2912.181641,2887500
2022-11-25,3040.000000,3070.000000,3000.000000,3000.000000,2873.863525,1060600
2022-11-28,2990.000000,3060.000000,2970.000000,3060.000000,2931.340820,1893900
2022-11-29,3060.000000,3190.000000,3060.000000,3170.000000,3036.715820,4503000
2022-11-30,3180.000000,3200.000000,3010.000000,3200.000000,3065.454590,12398600
2022-12-01,3150.000000,3200.000000,3070.000000,3100.000000,2969.658936,7313100
2022-12-02,3100.000000,3100.000000,3000.000000,3030.000000,2902.602295,3975200
2022-12-05,3030.000000,3030.000000,2840.000000,2890.000000,2768.488525,15783900
2022-12-06,2900.000000,3000.000000,2860.000000,3000.000000,2873.863525,7176700
2022-12-07,3000.000000,3000.000000,2870.000000,2950.000000,2825.965820,4094700
